2026-03-08 15:16:05,426 | INFO | src.main | lifespan:23 | Initializing vector store
2026-03-08 15:16:06,024 | INFO | src.core.database | init_qdrant:55 | Qdrant collection journal_entries already exists
2026-03-08 15:16:06,024 | INFO | src.main | lifespan:25 | Application ready
2026-05-13 17:56:00,085 | INFO | src.main | lifespan:26 | Initializing database tables
2026-05-13 17:56:00,137 | WARNING | src.core.database | init_db:54 | Database not ready (attempt 1/5): (psycopg.OperationalError) connection is bad: connection to server at "2406:da18:167b:f900:6b53:f83e:2809:1e79", port 5432 failed: Network is unreachable
	Is the server running on that host and accepting TCP/IP connections?
(Background on this error at: https://sqlalche.me/e/20/e3q8) — retrying in 2s
2026-05-13 17:56:02,168 | WARNING | src.core.database | init_db:54 | Database not ready (attempt 2/5): (psycopg.OperationalError) connection is bad: connection to server at "2406:da18:167b:f900:6b53:f83e:2809:1e79", port 5432 failed: Network is unreachable
	Is the server running on that host and accepting TCP/IP connections?
(Background on this error at: https://sqlalche.me/e/20/e3q8) — retrying in 2s
2026-05-13 17:56:04,199 | WARNING | src.core.database | init_db:54 | Database not ready (attempt 3/5): (psycopg.OperationalError) connection is bad: connection to server at "2406:da18:167b:f900:6b53:f83e:2809:1e79", port 5432 failed: Network is unreachable
	Is the server running on that host and accepting TCP/IP connections?
(Background on this error at: https://sqlalche.me/e/20/e3q8) — retrying in 2s
2026-05-13 17:56:06,222 | WARNING | src.core.database | init_db:54 | Database not ready (attempt 4/5): (psycopg.OperationalError) connection is bad: connection to server at "2406:da18:167b:f900:6b53:f83e:2809:1e79", port 5432 failed: Network is unreachable
	Is the server running on that host and accepting TCP/IP connections?
(Background on this error at: https://sqlalche.me/e/20/e3q8) — retrying in 2s
2026-05-13 17:57:18,556 | INFO | src.main | lifespan:26 | Initializing database tables
2026-05-13 17:57:18,635 | WARNING | src.core.database | init_db:54 | Database not ready (attempt 1/5): (psycopg.OperationalError) connection is bad: connection to server at "2406:da18:167b:f900:6b53:f83e:2809:1e79", port 5432 failed: Network is unreachable
	Is the server running on that host and accepting TCP/IP connections?
(Background on this error at: https://sqlalche.me/e/20/e3q8) — retrying in 2s
2026-05-13 17:57:20,688 | WARNING | src.core.database | init_db:54 | Database not ready (attempt 2/5): (psycopg.OperationalError) connection is bad: connection to server at "2406:da18:167b:f900:6b53:f83e:2809:1e79", port 5432 failed: Network is unreachable
	Is the server running on that host and accepting TCP/IP connections?
(Background on this error at: https://sqlalche.me/e/20/e3q8) — retrying in 2s
2026-05-13 17:57:22,714 | WARNING | src.core.database | init_db:54 | Database not ready (attempt 3/5): (psycopg.OperationalError) connection is bad: connection to server at "2406:da18:167b:f900:6b53:f83e:2809:1e79", port 5432 failed: Network is unreachable
	Is the server running on that host and accepting TCP/IP connections?
(Background on this error at: https://sqlalche.me/e/20/e3q8) — retrying in 2s
2026-05-13 17:57:26,239 | WARNING | src.core.database | init_db:54 | Database not ready (attempt 4/5): (psycopg.OperationalError) connection is bad: connection to server at "2406:da18:167b:f900:6b53:f83e:2809:1e79", port 5432 failed: Network is unreachable
	Is the server running on that host and accepting TCP/IP connections?
(Background on this error at: https://sqlalche.me/e/20/e3q8) — retrying in 2s
2026-05-13 18:07:28,239 | INFO | src.main | lifespan:26 | Initializing database tables
2026-05-13 18:07:33,263 | INFO | src.core.database | init_db:46 | pgvector extension verified/created successfully
2026-05-13 18:07:33,568 | INFO | src.core.database | init_db:49 | Database tables created successfully
2026-05-13 18:07:33,568 | INFO | src.main | lifespan:28 | Application ready
2026-05-13 18:10:06,687 | INFO | src.main | lifespan:26 | Initializing database tables
2026-05-13 18:10:08,031 | INFO | src.core.database | init_db:46 | pgvector extension verified/created successfully
2026-05-13 18:10:08,320 | INFO | src.core.database | init_db:49 | Database tables created successfully
2026-05-13 18:10:08,320 | INFO | src.main | lifespan:28 | Application ready
